"","Order","Family","Binomial","Age","Sex","Molt","Longitude_decimal_degrees","Latitude_decimal_degrees","State","Altitude","Year","ForestCover","BodyCond","PCHB1","Cluster","Temp","Rainfall","Elevation","Speciesdiversity","Region"
"4","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-54.487792,-25.619635,"PR",181,"2014",54052,178.3,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"13","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-48.892222,-25.985278,"SC",226,"2013",13183,173.79,-1.74329510048067,2,173,1755,153.19,0.338145077228546,"Sub-tropical"
"14","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-48.892222,-25.985278,"SC",226,"2013",13183,171.85,-1.74329510048067,2,173,1755,153.19,0.338145077228546,"Sub-tropical"
"16","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-48.892222,-25.985278,"SC",226,"2013",13183,184.93,-1.74329510048067,2,173,1755,153.19,0.338145077228546,"Sub-tropical"
"17","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-47.436016,-23.880844,"SP",914,"2006",18571,183.65,-1.74329510048067,2,170,1720,1003.62,0.520179152488708,"Sub-tropical"
"22","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-47.949986,-24.16386,"SP",489,"2012",16576,153.22,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"24","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","Yes",-48.541493,-25.587558,"PR",57,"2015",12264,175.28,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"30","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","Yes",-48.541493,-25.587558,"PR",57,"2009",12264,178.99,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"32","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-48.541493,-25.587558,"PR",57,"2016",12264,178.29,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"38","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-48.541493,-25.587558,"PR",57,"2014",12264,180.97,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"50","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-54.487792,-25.619635,"PR",181,"2015",54052,183.08,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"54","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-54.487792,-25.619635,"PR",181,"2013",54052,188.74,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"56","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Unknown","Unknown",-50.6967,-24.1431,"PR",610,"2014",28182,180.11,-1.74329510048067,2,189,1419,699.85,0.517905354499817,"Sub-tropical"
"58","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-48.884167,-26.002222,"SC",170,"2013",12232,195.66,-1.74329510048067,2,187,1741,178.6,0.416233599185944,"Sub-tropical"
"60","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.446516,-23.833638,"SP",990,"2006",23351,164.29,-1.74329510048067,2,170,1720,1016.15,0.387291580438614,"Sub-tropical"
"61","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-47.949986,-24.16386,"SP",489,"2013",16576,194.43,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"62","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Female","Yes",-48.541493,-25.587558,"PR",57,"2012",12264,190.82,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"63","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Unknown",-47.460382,-23.851281,"SP",972,"2006",33072,178.31,-1.74329510048067,2,170,1720,958.72,0,"Sub-tropical"
"68","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-48.512518,-27.531353,"SC",228,"2001",44591,173,-1.74329510048067,2,200,1489,61.05,0.533739686012268,"Sub-tropical"
"77","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","no",-48.541493,-25.587558,"PR",57,"2002",12264,175.7,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"78","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-48.884167,-26.002222,"SC",170,"2013",12232,171.85,-1.74329510048067,2,187,1741,178.6,0.416233599185944,"Sub-tropical"
"89","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-44.204194,-23.183073,"RJ",170,"1996",26283,159.07,-1.74329510048067,2,226,1565,149.24,0.421615093946457,"Sub-tropical"
"91","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-50.6967,-24.1431,"PR",610,"2011",28182,187.97,-1.74329510048067,2,189,1419,699.85,0.517905354499817,"Sub-tropical"
"93","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.48322,-23.886254,"SP",910,"2006",45193,172.57,-1.74329510048067,2,170,1720,929.83,0.289079278707504,"Sub-tropical"
"98","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-54.487792,-25.619635,"PR",181,"2014",54052,182.75,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"99","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-47.949986,-24.16386,"SP",489,"2012",16576,158.32,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"101","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Unknown",-47.443783,-23.867903,"SP",946,"2006",18646,162.7,-1.74329510048067,2,170,1720,976.36,0.490346699953079,"Sub-tropical"
"102","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-47.449741,-23.843869,"SP",990,"2005",27155,158.76,-1.74329510048067,2,170,1720,1031.72,0.280905187129974,"Sub-tropical"
"104","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Unknown",-47.449187,-23.854583,"SP",946,"2006",18339,167.63,-1.74329510048067,2,170,1720,980.37,0.445309847593307,"Sub-tropical"
"106","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","no",-48.884167,-26.002222,"SC",170,"2013",12232,177.97,-1.74329510048067,2,187,1741,178.6,0.416233599185944,"Sub-tropical"
"107","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Unknown",-47.480381,-23.876407,"SP",926,"2006",25838,169.27,-1.74329510048067,2,170,1720,904.52,0.280002146959305,"Sub-tropical"
"112","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","Yes",-48.541493,-25.587558,"PR",57,"2002",12264,182.7,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"115","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Female","Unknown",-47.443783,-23.867903,"SP",946,"2007",18646,169.27,-1.74329510048067,2,170,1720,976.36,0.490346699953079,"Sub-tropical"
"119","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-44.188333,-23.010833,"RJ",344,"2016",24685,161.8,-1.74329510048067,2,222,1580,360.98,0.462195485830307,"Sub-tropical"
"121","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-44.188333,-23.010833,"RJ",344,"2016",24685,170.42,-1.74329510048067,2,222,1580,360.98,0.462195485830307,"Sub-tropical"
"123","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.446516,-23.833638,"SP",990,"2006",23351,172.57,-1.74329510048067,2,170,1720,1016.15,0.387291580438614,"Sub-tropical"
"125","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.446516,-23.833638,"SP",990,"2006",23351,170.97,-1.74329510048067,2,170,1720,1016.15,0.387291580438614,"Sub-tropical"
"128","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-44.188333,-23.010833,"RJ",344,"2016",24685,156.98,-1.74329510048067,2,222,1580,360.98,0.462195485830307,"Sub-tropical"
"129","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.453913,-23.907938,"SP",927,"2005",16642,127.51,-1.74329510048067,2,170,1720,961.8,0.523766577243805,"Sub-tropical"
"131","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-47.480381,-23.876407,"SP",926,"2006",25838,177.53,-1.74329510048067,2,170,1720,904.52,0.280002146959305,"Sub-tropical"
"132","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-47.446516,-23.833638,"SP",990,"2006",23351,188.79,-1.74329510048067,2,170,1720,1016.15,0.387291580438614,"Sub-tropical"
"133","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-54.487792,-25.619635,"PR",181,"2014",54052,184.23,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"135","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-54.487792,-25.619635,"PR",181,"2013",54052,183.8,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"136","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-44.188333,-23.010833,"RJ",344,"2016",24685,167.38,-1.74329510048067,2,222,1580,360.98,0.462195485830307,"Sub-tropical"
"137","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-48.541493,-25.587558,"PR",57,"2009",12264,167.04,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"138","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-44.188333,-23.010833,"RJ",344,"2016",24685,152.46,-1.74329510048067,2,222,1580,360.98,0.462195485830307,"Sub-tropical"
"144","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.436016,-23.880844,"SP",914,"2006",18571,167.33,-1.74329510048067,2,170,1720,1003.62,0.520179152488708,"Sub-tropical"
"145","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-48.541493,-25.587558,"PR",57,"2004",12264,180.53,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"146","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-47.949986,-24.16386,"SP",489,"2012",16576,168.95,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"147","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-48.541493,-25.587558,"PR",57,"2014",12264,177.79,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"148","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.460399,-23.88904,"SP",912,"2007",23446,170.92,-1.74329510048067,2,170,1720,997.47,0.509962022304535,"Sub-tropical"
"149","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-48.541493,-25.587558,"PR",57,"2002",12264,175.28,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"150","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-47.446516,-23.833638,"SP",990,"2006",23351,178.81,-1.74329510048067,2,170,1720,1016.15,0.387291580438614,"Sub-tropical"
"155","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-48.541493,-25.587558,"PR",57,"2011",12264,185.26,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"158","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Unknown",-47.480381,-23.876407,"SP",926,"2005",25838,163.57,-1.74329510048067,2,170,1720,904.52,0.280002146959305,"Sub-tropical"
"159","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-48.541493,-25.587558,"PR",57,"2009",12264,181.96,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"161","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-47.949986,-24.16386,"SP",489,"2012",16576,165.46,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"163","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Unknown",-43.4381,-20.2067,"MG",904,"2008",58949,173.28,-1.74329510048067,2,198,1382,959.39,0.414720445871353,"Tropical"
"164","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.452334,-23.920014,"SP",927,"2005",11173,142.04,-1.74329510048067,2,170,1720,986.53,0.523723244667053,"Sub-tropical"
"165","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","Yes",-54.487792,-25.619635,"PR",181,"2012",54052,186.29,-1.74329510048067,2,208,1745,168.12,0.314829587936401,"Sub-tropical"
"167","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-48.422847,-25.356797,"PR",NA,"1998",14167,185.26,-1.74329510048067,2,212,2123,9.63,0.228335618972778,"Sub-tropical"
"170","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Unknown",-47.410015,-23.951935,"SP",665,"2005",41000,233.67,-1.74329510048067,2,170,1720,734.7,0.565436601638794,"Sub-tropical"
"171","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Female","Yes",-48.541493,-25.587558,"PR",57,"2002",12264,151.41,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"172","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-47.949986,-24.16386,"SP",489,"2012",16576,180.53,-1.74329510048067,2,180,1446,475.46,0.518510937690735,"Sub-tropical"
"175","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","Yes",-49.398056,-22.530694,"SP",610,"2014",21075,158.74,-1.74329510048067,2,207,1274,570.06,0.246589109301567,"Tropical"
"181","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-48.541493,-25.587558,"PR",57,"2004",12264,170.09,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"184","Passeriformes","Thraupidae","Trichothraupis_melanops","Adult","Male","no",-48.541493,-25.587558,"PR",57,"2015",12264,181.69,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"186","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-48.541493,-25.587558,"PR",57,"2004",12264,175.04,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"188","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Unknown","Yes",-48.541493,-25.587558,"PR",57,"2003",12264,179.56,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
"189","Passeriformes","Thraupidae","Trichothraupis_melanops","Juvenile","Male","no",-48.541493,-25.587558,"PR",57,"2008",12264,180.53,-1.74329510048067,2,205,2056,13.21,0.474273413419724,"Sub-tropical"
